,ROC-AUC,PR-AUC,Accuracy
0,0.7441806331471136,0.8045600447878752,0.708803611738149
1,0.7288175046554936,0.7929161086314143,0.7020316027088036
2,0.7563907228711698,0.8232548995647403,0.7110609480812641
3,0.7493863213136955,0.816004300561473,0.6930022573363431
4,0.7439055358049771,0.8108493992783836,0.6862302483069977
5,0.7365837142373455,0.7969313800794025,0.6884875846501128
6,0.7344887421703065,0.8122449938454457,0.6975169300225733
7,0.7303834433722702,0.8008696205916987,0.7133182844243793
8,0.7333248687997291,0.7990122640486079,0.6839729119638827
9,0.7390595903165735,0.8080208517053471,0.7042889390519187
